year,corp,dpto,votos,winner,ideo
2022,camara,AMAZONAS,26469,PARTIDO LIBERAL COLOMBIANO,Centro
2022,camara,ANTIOQUIA,2133780,PARTIDO CENTRO DEMOCRÁTICO,Derecha
2022,camara,ARAUCA,84808,PARTIDO LIBERAL COLOMBIANO,Centro
2022,camara,ATLANTICO,981961,PARTIDO CAMBIO RADICAL,Derecha
2022,camara,BOGOTA D.C.,2689646,PACTO HISTÓRICO,Izquierda
2022,camara,BOLIVAR,787578,PARTIDO CONSERVADOR COLOMBIANO,Derecha
2022,camara,BOYACA,489635,PARTIDO ALIANZA VERDE,Centro
2022,camara,CALDAS,383339,GENTE EN MOVIMIENTO,Centro
2022,camara,CAQUETA,118520,PARTIDO CONSERVADOR COLOMBIANO,Derecha
2022,camara,CASANARE,150104,PARTIDO LIBERAL COLOMBIANO,Centro
2022,camara,CAUCA,384677,PACTO HISTÓRICO,Izquierda
2022,camara,CESAR,410930,PARTIDO CONSERVADOR COLOMBIANO,Derecha
2022,camara,CHOCO,146979,PARTIDO LIBERAL COLOMBIANO,Centro
2022,camara,CONSULADOS,118053,PACTO HISTÓRICO,Izquierda
2022,camara,CORDOBA,794125,PARTIDO DE LA U,Derecha
2022,camara,CUNDINAMARCA,972440,PACTO HISTÓRICO,Izquierda
2022,camara,GUAINIA,18605,PARTIDO CAMBIO RADICAL,Derecha
2022,camara,GUAVIARE,31459,PARTIDO CONSERVADOR COLOMBIANO,Derecha
2022,camara,HUILA,389846,PARTIDO CAMBIO RADICAL,Derecha
2022,camara,LA GUAJIRA,299652,PARTIDO CONSERVADOR COLOMBIANO,Derecha
2022,camara,MAGDALENA,519441,PARTIDO CENTRO DEMOCRÁTICO,Derecha
2022,camara,META,354338,PACTO HISTÓRICO,Izquierda
2022,camara,NARIÑO,572538,PARTIDO CONSERVADOR COLOMBIANO,Derecha
2022,camara,NORTE DE SANTANDER,602546,PARTIDO CAMBIO RADICAL,Derecha
2022,camara,PUTUMAYO,94227,PACTO HISTÓRICO,Izquierda
2022,camara,QUINDIO,214506,PARTIDO LIBERAL COLOMBIANO,Centro
2022,camara,RISARALDA,371285,PARTIDO LIBERAL COLOMBIANO,Centro
2022,camara,SAN ANDRES,25410,PARTIDO LIBERAL COLOMBIANO,Centro
2022,camara,SANTANDER,853964,LIGA DE GOBERNANTES ANTICORRUPCIÓN,Derecha
2022,camara,SUCRE,452973,PARTIDO DE LA U,Derecha
2022,camara,TOLIMA,501002,PARTIDO CONSERVADOR COLOMBIANO,Derecha
2022,camara,VALLE,1515019,PACTO HISTÓRICO,Izquierda
2022,camara,VAUPES,13132,PARTIDO DE LA U,Derecha
2022,camara,VICHADA,23399,PARTIDO DE LA U,Derecha
2022,senado,AMAZONAS,22863,PARTIDO LIBERAL COLOMBIANO,Centro
2022,senado,ANTIOQUIA,2179147,PARTIDO CENTRO DEMOCRÁTICO,Derecha
2022,senado,ARAUCA,83105,PARTIDO CENTRO DEMOCRÁTICO,Derecha
2022,senado,ATLANTICO,1041804,PARTIDO CAMBIO RADICAL,Derecha
2022,senado,BOGOTA D.C.,2676288,PACTO HISTÓRICO,Izquierda
2022,senado,BOLIVAR,798085,PARTIDO CONSERVADOR COLOMBIANO,Derecha
2022,senado,BOYACA,481553,COALICIÓN ALIANZA VERDE Y CENTRO ESPERANZA,Centro
2022,senado,CALDAS,380843,COALICIÓN ALIANZA VERDE Y CENTRO ESPERANZA,Centro
2022,senado,CAQUETA,114144,PARTIDO CONSERVADOR COLOMBIANO,Derecha
2022,senado,CASANARE,149304,PARTIDO CENTRO DEMOCRÁTICO,Derecha
2022,senado,CAUCA,372132,PACTO HISTÓRICO,Izquierda
2022,senado,CESAR,407654,PARTIDO DE LA U,Derecha
2022,senado,CHOCO,143351,PARTIDO LIBERAL COLOMBIANO,Centro
2022,senado,CONSULADOS,128645,PARTIDO CENTRO DEMOCRÁTICO,Derecha
2022,senado,CORDOBA,784048,PARTIDO DE LA U,Derecha
2022,senado,CUNDINAMARCA,970569,PACTO HISTÓRICO,Izquierda
2022,senado,GUAINIA,13195,PARTIDO LIBERAL COLOMBIANO,Centro
2022,senado,GUAVIARE,30285,PARTIDO CONSERVADOR COLOMBIANO,Derecha
2022,senado,HUILA,383814,PARTIDO CAMBIO RADICAL,Derecha
2022,senado,LA GUAJIRA,294730,PARTIDO DE LA U,Derecha
2022,senado,MAGDALENA,535908,PARTIDO CAMBIO RADICAL,Derecha
2022,senado,META,366832,PARTIDO LIBERAL COLOMBIANO,Centro
2022,senado,NARIÑO,524627,PARTIDO CONSERVADOR COLOMBIANO,Derecha
2022,senado,NORTE DE SANTANDER,598310,PARTIDO CAMBIO RADICAL,Derecha
2022,senado,PUTUMAYO,84619,PACTO HISTÓRICO,Izquierda
2022,senado,QUINDIO,214159,PARTIDO LIBERAL COLOMBIANO,Centro
2022,senado,RISARALDA,370000,PARTIDO LIBERAL COLOMBIANO,Centro
2022,senado,SAN ANDRES,22271,PARTIDO CAMBIO RADICAL,Derecha
2022,senado,SANTANDER,849439,COALICIÓN ALIANZA VERDE Y CENTRO ESPERANZA,Centro
2022,senado,SUCRE,457976,PARTIDO LIBERAL COLOMBIANO,Centro
2022,senado,TOLIMA,494591,PARTIDO CONSERVADOR COLOMBIANO,Derecha
2022,senado,VALLE,1524491,PACTO HISTÓRICO,Izquierda
2022,senado,VAUPES,11398,PARTIDO DE LA U,Derecha
2022,senado,VICHADA,20661,PARTIDO CENTRO DEMOCRÁTICO,Derecha
2026,camara,AMAZONAS,30403,LA VOZ DEL AMAZONAS,Centro
2026,camara,ANTIOQUIA,2409278,PARTIDO CENTRO DEMOCRÁTICO,Derecha
2026,camara,ARAUCA,96732,PARTIDO LIBERAL COLOMBIANO,Centro
2026,camara,ATLANTICO,1132758,PARTIDO CAMBIO RADICAL,Derecha
2026,camara,BOGOTA D.C.,2921783,MOVIMIENTO POLÍTICO PACTO HISTÓRICO,Izquierda
2026,camara,BOLIVAR,969503,PARTIDO CONSERVADOR COLOMBIANO,Derecha
2026,camara,BOYACA,530415,PARTIDO ALIANZA VERDE,Centro
2026,camara,CALDAS,410203,PACTO HISTÓRICO ALIANZA VERDE,Izquierda
2026,camara,CAQUETA,139010,COALICIÓN CAQUETÁ,Derecha
2026,camara,CASANARE,170185,PARTIDO CENTRO DEMOCRÁTICO,Derecha
2026,camara,CAUCA,452153,MOVIMIENTO POLÍTICO PACTO HISTÓRICO,Izquierda
2026,camara,CESAR,493465,PARTIDO CONSERVADOR COLOMBIANO,Derecha
2026,camara,CHOCO,189375,PARTIDO LIBERAL COLOMBIANO,Centro
2026,camara,CONSULADOS,223024,PARTIDO CENTRO DEMOCRÁTICO,Derecha
2026,camara,CORDOBA,892582,PRIMERO CÓRDOBA,Derecha
2026,camara,CUNDINAMARCA,1174247,MOVIMIENTO POLÍTICO PACTO HISTÓRICO,Izquierda
2026,camara,GUAINIA,20809,PARTIDO DE LA U,Derecha
2026,camara,GUAVIARE,36342,PARTIDO CONSERVADOR COLOMBIANO,Derecha
2026,camara,HUILA,420726,PARTIDO LIBERAL COLOMBIANO,Centro
2026,camara,LA GUAJIRA,327341,PARTIDO DE LA U,Derecha
2026,camara,MAGDALENA,601024,PARTIDO LIBERAL COLOMBIANO,Centro
2026,camara,META,436001,PARTIDO CENTRO DEMOCRÁTICO,Derecha
2026,camara,NARIÑO,565449,MOVIMIENTO POLÍTICO PACTO HISTÓRICO,Izquierda
2026,camara,NORTE DE SANTANDER,718860,PARTIDO CONSERVADOR COLOMBIANO,Derecha
2026,camara,PUTUMAYO,110770,PACTO VERDE PUTUMAYO,Izquierda
2026,camara,QUINDIO,243901,CENTRO DEMOCRÁTICO - PARTIDO CONSERVADOR,Derecha
2026,camara,RISARALDA,411593,PACTO POR RISARALDA,Izquierda
2026,camara,SAN ANDRES,27392,PARTIDO LIBERAL COLOMBIANO,Centro
2026,camara,SANTANDER,969320,PARTIDO CENTRO DEMOCRÁTICO,Derecha
2026,camara,SUCRE,494811,PARTIDO LIBERAL COLOMBIANO,Centro
2026,camara,TOLIMA,552136,PARTIDO CONSERVADOR COLOMBIANO,Derecha
2026,camara,VALLE,1731591,MOVIMIENTO POLÍTICO PACTO HISTÓRICO,Izquierda
2026,camara,VAUPES,15532,PARTIDO DE LA U,Derecha
2026,camara,VICHADA,29098,PARTIDO LIBERAL COLOMBIANO,Centro
2026,senado,AMAZONAS,28720,PARTIDO LIBERAL COLOMBIANO,Centro
2026,senado,ANTIOQUIA,2469550,PARTIDO CENTRO DEMOCRÁTICO,Derecha
2026,senado,ARAUCA,97495,PARTIDO LIBERAL COLOMBIANO,Centro
2026,senado,ATLANTICO,1216907,PACTO HISTÓRICO SENADO,Izquierda
2026,senado,BOGOTA D.C.,3063903,PACTO HISTÓRICO SENADO,Izquierda
2026,senado,BOLIVAR,997846,PARTIDO CONSERVADOR COLOMBIANO,Derecha
2026,senado,BOYACA,533976,ALIANZA POR COLOMBIA,Centro
2026,senado,CALDAS,423340,ALIANZA POR COLOMBIA,Centro
2026,senado,CAQUETA,139579,PACTO HISTÓRICO SENADO,Izquierda
2026,senado,CASANARE,173357,PARTIDO CENTRO DEMOCRÁTICO,Derecha
2026,senado,CAUCA,463361,PACTO HISTÓRICO SENADO,Izquierda
2026,senado,CESAR,497135,PARTIDO DE LA U,Derecha
2026,senado,CHOCO,186089,PARTIDO LIBERAL COLOMBIANO,Centro
2026,senado,CONSULADOS,245755,PARTIDO CENTRO DEMOCRÁTICO,Derecha
2026,senado,CORDOBA,907876,PARTIDO DE LA U,Derecha
2026,senado,CUNDINAMARCA,1202572,PACTO HISTÓRICO SENADO,Izquierda
2026,senado,GUAINIA,16571,COALICIÓN CAMBIO RADICAL - ALMA,Derecha
2026,senado,GUAVIARE,36300,PARTIDO CONSERVADOR COLOMBIANO,Derecha
2026,senado,HUILA,428408,PACTO HISTÓRICO SENADO,Izquierda
2026,senado,LA GUAJIRA,299092,PARTIDO DE LA U,Derecha
2026,senado,MAGDALENA,607780,PARTIDO LIBERAL COLOMBIANO,Centro
2026,senado,META,444507,PARTIDO CENTRO DEMOCRÁTICO,Derecha
2026,senado,NARIÑO,597325,PACTO HISTÓRICO SENADO,Izquierda
2026,senado,NORTE DE SANTANDER,729623,PARTIDO LIBERAL COLOMBIANO,Centro
2026,senado,PUTUMAYO,109325,PACTO HISTÓRICO SENADO,Izquierda
2026,senado,QUINDIO,248090,PACTO HISTÓRICO SENADO,Izquierda
2026,senado,RISARALDA,416012,PACTO HISTÓRICO SENADO,Izquierda
2026,senado,SAN ANDRES,24197,PARTIDO LIBERAL COLOMBIANO,Centro
2026,senado,SANTANDER,981929,PARTIDO CENTRO DEMOCRÁTICO,Derecha
2026,senado,SUCRE,506270,PARTIDO LIBERAL COLOMBIANO,Centro
2026,senado,TOLIMA,560102,PARTIDO CONSERVADOR COLOMBIANO,Derecha
2026,senado,VALLE,1799955,PACTO HISTÓRICO SENADO,Izquierda
2026,senado,VAUPES,11848,PACTO HISTÓRICO SENADO,Izquierda
2026,senado,VICHADA,27483,PARTIDO LIBERAL COLOMBIANO,Centro